category,crse_attr_value,descr
GE A,GE A1,2020-21 or later catalog: GE A1
GE A,GE A2,2020-21 or later catalog: GE A2
GE A,GE A3,2020-21 or later catalog: GE A3
GE B,GE B1,2020-21 or later catalog: GE B1
GE B,GE B2,2020-21 or later catalog: GE B2
GE B,GE B3,2020-21 or later catalog: GE B3
GE B,GE B4,2020-21 or later catalog: GE B4
GE B,GE BU,2020-21 or later catalog: GE B Upper-Division
GE C,GE C1,2020-21 or later catalog: GE C1
GE C,GE C2,2020-21 or later catalog: GE C2
GE C,GE C3,2020-21 or later catalog: GE C3
GE C,GE C4,2020-21 or later catalog: GE C4
GE C,GE CU,2020-21 or later catalog: GE C Upper-Division
GE D,GE D1,2020-21 or later catalog: GE D1
GE D,GE D2,2020-21 or later catalog: GE D2
GE D,GE D3,2020-21 or later catalog: GE D3
GE D,GE D4,2020-21 or later catalog: GE D4
GE D,GE DU,2020-21 or later catalog: GE D Upper-Division
GE E,GE E,2020-21 or later catalog: E
GE F,GE F,2020-21 or later catalog: F
GWR,GWR,Graduation Writing Requirement
USCP,USCP,US Cultural Pluralism