crse_id,class_section,class_nbr,component,subject,catalog_nbr,instruction_mode,acad_org,wait_tot,wait_cap,class_capacity,enrollment_total,enrollment_available,descr,units,enrl_stat,enrl_stat_descr,instructors,section_type,days,start_time,end_time,bldg_cd,facility_descr,room,facility_id,crse_attr,crse_attr_value,reserve_notes,crse_catalog_description,prereq_courses
00001,001,00001,LEC,CSE,101,IP,101-CSC,0,99,30,25,5,Introduction to Computer Science,4,O,Open,Sean|Hopkins,Lecture,MoWeFr,13:10,14:00,005,Computer Science Building,101,005-101,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00002,002,00002,LAB,CSE,101,IP,101-CSC,0,99,30,25,5,Introduction to Computer Science,0,O,Open,Sean|Hopkins,Lab,MoWeFr,14:10,15:00,005,Computer Science Building,101,005-107,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00003,003,00003,LEC,CSE,101,IP,101-CSC,0,99,30,20,10,Introduction to Computer Science,4,O,Open,Jane|Smith,Lecture,TuTh,10:10,11:30,005,Computer Science Building,102,005-102,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00004,004,00004,LAB,CSE,101,IP,101-CSC,0,99,30,20,10,Introduction to Computer Science,0,O,Open,Jane|Smith,Lab,TuTh,11:40,12:30,005,Computer Science Building,102,005-108,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00005,005,00005,LEC,CSE,101,AM,101-CSC,12,99,30,30,0,Introduction to Computer Science,4,O,Wait List,Emily|Johnson,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00006,006,00006,LEC,CSE,201,IP,101-CSC,12,99,30,30,0,Introduction to Computer Science,4,O,Wait List,Emily|Johnson,Lecture,MoWeFr,13:10,14:00,005,Computer Science Building,201,005-201,,,,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00007,007,00007,LAB,CSE,201,IP,101-CSC,0,99,30,10,20,Introduction to Computer Science,0,O,Open,Emily|Johnson,Lab,MoWeFr,14:10,15:00,005,Computer Science Building,201,005-207,,,,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00008,001,00008,LEC,CSE,201,IP,201-CSC,0,99,25,20,5,Data Structures and Algorithms,4,O,Open,Jose|Dalton,Lecture,TuTh,09:10,10:30,005,Computer Science Building,202,005-202,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00009,002,00009,LAB,CSE,201,IP,201-CSC,0,99,25,20,5,Data Structures and Algorithms,0,O,Open,Jose|Dalton,Lab,TuTh,10:40,11:30,005,Computer Science Building,202,005-208,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00010,003,00010,LEC,CSE,201,AM,201-CSC,0,99,25,15,10,Data Structures and Algorithms,4,O,Open,Candy|Norton,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00011,001,00011,LEC,CSE,202,IP,202-CSC,0,99,20,15,5,Computer Architecture,4,O,Open,Candy|Norton,Lecture,MoWeFr,11:10,12:00,005,Computer Science Building,203,005-203,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00012,002,00012,LAB,CSE,202,IP,202-CSC,0,99,20,15,5,Computer Architecture,0,O,Open,Candy|Norton,Lab,MoWeFr,12:10,13:00,005,Computer Science Building,203,005-209,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00013,003,00013,LEC,CSE,202,IP,202-CSC,0,99,20,10,10,Computer Architecture,4,O,Open,Joanna|Fink,Lecture,TuTh,14:10,15:30,005,Computer Science Building,204,005-204,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00014,004,00014,LAB,CSE,202,IP,202-CSC,0,99,20,10,10,Computer Architecture,0,O,Open,Joanna|Fink,Lab,TuTh,15:40,16:30,005,Computer Science Building,204,005-210,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00015,005,00015,LEC,CSE,202,AM,202-CSC,0,99,20,10,10,Computer Architecture,4,O,Wait List,Cindy|Mayo,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00016,006,00016,LAB,CSE,202,AM,202-CSC,5,99,20,20,0,Computer Architecture,0,O,Wait List,Cindy|Mayo,Lab,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00017,001,00017,LEC,CSE,301,IP,301-CSC,0,99,15,10,5,Software Engineering,4,O,Open,Herbert|Fuller,Lecture,MoWeFr,09:10,10:00,005,Computer Science Building,301,005-301,,,,"Study of software engineering principles, methodologies, and tools for designing, developing, and maintaining software systems.",CSE 201 with a grade of C or better
00018,002,00018,LAB,CSE,301,IP,301-CSC,0,99,15,10,5,Software Engineering,0,O,Open,Herbert|Fuller,Lab,MoWeFr,10:10,11:00,005,Computer Science Building,301,005-307,,,,"Study of software engineering principles, methodologies, and tools for designing, developing, and maintaining software systems.",CSE 201 with a grade of C or better
00019,003,00019,LEC,CSE,301,IP,301-CSC,0,99,15,15,0,Software Engineering,4,O,Closed,Traci|Higgins,Lecture,TuTh,13:10,14:30,005,Computer Science Building,302,005-302,,,,"Study of software engineering principles, methodologies, and tools for designing, developing, and maintaining software systems.",CSE 201 with a grade of C or better
00020,004,00020,LAB,CSE,301,IP,301-CSC,0,99,15,15,0,Software Engineering,0,O,Closed,Traci|Higgins,Lab,TuTh,14:40,15:30,005,Computer Science Building,302,005-308,,,,"Study of software engineering principles, methodologies, and tools for designing, developing, and maintaining software systems.",CSE 201 with a grade of C or better
00021,001,00021,LEC,MATH,101,IP,101-MTH,0,99,40,35,5,Calculus I,4,O,Open,Lawrence|Liu,Lecture,MoWeFr,08:10,09:00,010,Mathematics Building,101,010-101,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00022,002,00022,REC,MATH,101,IP,101-MTH,0,99,40,35,5,Calculus I,0,O,Open,Lawrence|Liu,Recitation,MoWeFr,09:10,10:00,010,Mathematics Building,101,010-111,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00023,003,00023,LEC,MATH,101,IP,101-MTH,0,99,40,30,10,Calculus I,4,O,Open,Helen|Armstrong,Lecture,TuTh,10:10,11:30,010,Mathematics Building,102,010-102,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00024,004,00024,REC,MATH,101,IP,101-MTH,0,99,40,30,10,Calculus I,0,O,Open,Helen|Armstrong,Recitation,TuTh,11:40,12:30,010,Mathematics Building,102,010-112,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00025,005,00025,LEC,MATH,101,AM,101-MTH,0,99,40,25,15,Calculus I,4,O,Wait List,Dustin|Irwin,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00026,006,00026,REC,MATH,101,AM,101-MTH,0,99,40,25,15,Calculus I,0,O,Wait List,Dustin|Irwin,Recitation,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to differential and integral calculus of one variable. Topics include limits, continuity, derivatives, integrals, and applications.",None
00027,001,00027,LEC,MATH,201,IP,201-MTH,0,99,30,20,10,Calculus II,4,O,Open,Ruben|Skinner,Lecture,MoWeFr,13:10,14:00,010,Mathematics Building,201,010-201,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00028,002,00028,REC,MATH,201,IP,201-MTH,0,99,30,20,10,Calculus II,0,O,Open,Ruben|Skinner,Recitation,MoWeFr,14:10,15:00,010,Mathematics Building,201,010-211,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00029,003,00029,LEC,MATH,201,IP,201-MTH,0,99,30,25,5,Calculus II,4,O,Open,Marcus|Ibarra,Lecture,TuTh,09:00,10:30,010,Mathematics Building,202,010-202,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00030,004,00030,REC,MATH,201,IP,201-MTH,0,99,30,25,5,Calculus II,0,O,Open,Marcus|Ibarra,Recitation,TuTh,10:40,11:30,010,Mathematics Building,202,010-212,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00031,005,00031,LEC,MATH,201,AM,201-MTH,0,99,30,15,15,Calculus II,4,O,Wait List,Cherie|Lyon,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00032,006,00032,REC,MATH,201,AM,201-MTH,0,99,30,15,15,Calculus II,0,O,Wait List,Cherie|Lyon,Recitation,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,,"Continuation of Calculus I. Topics include techniques of integration, sequences and series, parametric equations, and polar coordinates.",MATH 101 with a grade of C or better
00033,001,00033,LEC,MATH,202,IP,202-MTH,0,99,25,20,5,Linear Algebra,4,O,Open,Patty|Gillespie,Lecture,MoWeFr,11:10,12:00,010,Mathematics Building,203,010-203,GE B,GE B-GE B4,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00034,002,00034,REC,MATH,202,IP,202-MTH,0,99,25,20,5,Linear Algebra,0,O,Open,Patty|Gillespie,Recitation,MoWeFr,12:10,13:00,010,Mathematics Building,203,010-213,GE B,GE B-GE B4,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00035,003,00035,LEC,MATH,202,IP,202-MTH,0,99,25,15,10,Linear Algebra,4,O,Open,Sean|Hopkins,Lecture,TuTh,14:10,15:30,010,Mathematics Building,204,010-204,GE B,GE B-GE B4,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00036,004,00036,REC,MATH,202,IP,202-MTH,0,99,25,15,10,Linear Algebra,0,O,Open,Sean|Hopkins,Recitation,TuTh,15:40,16:30,010,Mathematics Building,204,010-214,,,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00037,005,00037,LEC,MATH,202,AM,202-MTH,0,99,25,10,15,Linear Algebra,4,O,Wait List,Dale|Sandoval,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00038,006,00038,REC,MATH,202,AM,202-MTH,0,99,25,10,15,Linear Algebra,0,O,Wait List,Dale|Sandoval,Recitation,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,,"Introduction to vector spaces, linear transformations, matrices, determinants, eigenvalues, and eigenvectors.",MATH 101 with a grade of C or better
00039,001,00039,LEC,CHEM,101,IP,101-CHE,0,99,35,30,5,General Chemistry I,4,O,Open,Edgar|Molina,Lecture,MoWeFr,08:10,09:00,020,Chemistry Building,101,020-101,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00040,002,00040,LAB,CHEM,101,IP,101-CHE,0,99,35,30,5,General Chemistry I,0,O,Open,Edgar|Molina,Lab,MoWeFr,09:10,12:00,020,Chemistry Building,101,020-111,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00041,003,00041,LEC,CHEM,101,IP,101-CHE,0,99,35,25,10,General Chemistry I,4,O,Open,Kirsten|Thornton,Lecture,TuTh,10:10,11:30,020,Chemistry Building,102,020-102,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00042,004,00042,LAB,CHEM,101,IP,101-CHE,0,99,35,25,10,General Chemistry I,0,O,Open,Kirsten|Thornton,Lab,TuTh,11:40,14:30,020,Chemistry Building,102,020-112,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00043,005,00043,LEC,CHEM,101,AM,101-CHE,0,99,35,20,15,General Chemistry I,4,O,Wait List,Darin|Hess,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00044,006,00044,LAB,CHEM,101,AM,101-CHE,0,99,35,20,15,General Chemistry I,0,O,Wait List,Darin|Hess,Lab,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to principles of chemistry including atomic structure, chemical bonding, stoichiometry, thermodynamics, and kinetics.",None
00045,001,00045,LEC,CHEM,201,IP,201-CHE,0,99,30,30,0,General Chemistry II,4,O,Closed,Jackie|Patel,Lecture,MoWeFr,13:10,14:00,020,Chemistry Building,201,020-201,GE B,GE B-GE B1,,"Continuation of General Chemistry I. Topics include chemical equilibrium, acid-base chemistry, thermodynamics, and electrochemistry.",CHEM 101 with a grade of C or better
00046,002,00046,LAB,CHEM,201,IP,201-CHE,0,99,30,30,0,General Chemistry II,0,O,Closed,Jackie|Patel,Lab,MoWeFr,14:10,17:00,020,Chemistry Building,201,020-211,GE B,GE B-GE B1,,"Continuation of General Chemistry I. Topics include chemical equilibrium, acid-base chemistry, thermodynamics, and electrochemistry.",CHEM 101 with a grade of C or better
00047,003,00047,LEC,CHEM,201,IP,201-CHE,0,99,30,25,5,General Chemistry II,4,O,Open,Natasha|Browning,Lecture,TuTh,09:10,10:30,020,Chemistry Building,202,020-202,GE B,GE B-GE B1,,"Continuation of General Chemistry I. Topics include chemical equilibrium, acid-base chemistry, thermodynamics, and electrochemistry.",CHEM 101 with a grade of C or better
00048,004,00048,LAB,CHEM,201,IP,201-CHE,0,99,30,25,5,General Chemistry II,0,O,Open,Natasha|Browning,Lab,TuTh,10:40,13:30,020,Chemistry Building,202,020-212,GE B,GE B-GE B1,,"Continuation of General Chemistry I. Topics include chemical equilibrium, acid-base chemistry, thermodynamics, and electrochemistry.",CHEM 101 with a grade of C or better
00049,001,00049,LEC,CHEM,202,IP,202-CHE,0,99,25,20,5,Organic Chemistry I,4,O,Open,Clayton|Flynn,Lecture,MoWeFr,11:10,12:00,020,Chemistry Building,203,020-203,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00050,002,00050,LAB,CHEM,202,IP,202-CHE,0,99,25,20,5,Organic Chemistry I,0,O,Open,Clayton|Flynn,Lab,MoWeFr,12:10,15:00,020,Chemistry Building,203,020-213,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00051,003,00051,LEC,CHEM,202,IP,202-CHE,0,99,25,15,10,Organic Chemistry I,4,O,Open,Ashley|Mccarty,Lecture,TuTh,14:10,15:30,020,Chemistry Building,204,020-204,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00052,004,00052,LAB,CHEM,202,IP,202-CHE,0,99,25,15,10,Organic Chemistry I,0,O,Open,Ashley|Mccarty,Lab,TuTh,15:40,18:30,020,Chemistry Building,204,020-214,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00053,005,00053,LEC,CHEM,202,IP,202-CHE,0,99,25,10,15,Organic Chemistry I,4,O,Open,Jordan|Mccullough,Lecture,TuTh,14:10,15:30,020,Chemistry Building,204,020-204,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00054,005,00054,LAB,CHEM,202,IP,202-CHE,0,99,25,10,15,Organic Chemistry I,0,O,Open,Jordan|Mccullough,Lab,TuTh,15:40,18:30,020,Chemistry Building,204,020-214,,,,"Introduction to the structure, nomenclature, reactions, and synthesis of organic compounds.",CHEM 201 with a grade of C or better
00055,001,00055,LEC,CHEM,202,AM,202-CHE,0,99,25,10,15,Organic Chemistry II,4,O,Wait List,Mariah|Mccray,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Continuation of Organic Chemistry I. Topics include reaction mechanisms, spectroscopy, and synthesis of organic compounds.",CHEM 202 with a grade of C or better
00056,002,00056,LAB,CHEM,202,AM,202-CHE,0,99,25,10,15,Organic Chemistry II,0,O,Wait List,Mariah|Mccray,Lab,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Continuation of Organic Chemistry I. Topics include reaction mechanisms, spectroscopy, and synthesis of organic compounds.",CHEM 202 with a grade of C or better
00057,001,00057,LEC,PHYS,101,IP,101-PHY,0,99,40,35,5,General Physics I,4,O,Open,Theodore|Mccormick,Lecture,MoWeFr,08:10,09:00,030,Physics Building,101,030-101,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00058,002,00058,LAB,PHYS,101,IP,101-PHY,0,99,40,35,5,General Physics I,0,O,Open,Theodore|Mccormick,Lab,MoWeFr,09:10,12:00,030,Physics Building,101,030-111,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00059,003,00059,LEC,PHYS,101,IP,101-PHY,0,99,40,30,10,General Physics I,4,O,Open,Shelly|Mclean,Lecture,TuTh,10:10,11:30,030,Physics Building,102,030-102,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00060,004,00060,LAB,PHYS,101,IP,101-PHY,0,99,40,30,10,General Physics I,0,O,Open,Shelly|Mclean,Lab,TuTh,11:40,14:30,030,Physics Building,102,030-112,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00061,005,00061,LEC,PHYS,101,AM,101-PHY,0,99,40,25,15,General Physics I,4,O,Wait List,Brandon|Mendez,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00062,006,00062,LAB,PHYS,101,AM,101-PHY,0,99,40,25,15,General Physics I,0,O,Wait List,Brandon|Mendez,Lab,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B1,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to classical mechanics, including kinematics, Newton's laws, work, energy, momentum, and rotational motion.",MATH 101 or equivalent
00063,001,00063,LEC,PHYS,201,IP,201-PHY,0,99,30,30,0,General Physics II,4,O,Closed,Alicia|Morrow,Lecture,MoWeFr,13:10,14:00,030,Physics Building,201,030-201,GE B,GE B-GE B1,,"Continuation of General Physics I. Topics include electricity, magnetism, optics, and modern physics.",PHYS 101 with a grade of C or better
00064,002,00064,LAB,PHYS,201,IP,201-PHY,0,99,30,30,0,General Physics II,0,O,Closed,Alicia|Morrow,Lab,MoWeFr,14:10,17:00,030,Physics Building,201,030-211,GE B,GE B-GE B1,,"Continuation of General Physics I. Topics include electricity, magnetism, optics, and modern physics.",PHYS 101 with a grade of C or better
00065,003,00065,LEC,PHYS,201,IP,201-PHY,0,99,30,25,5,General Physics II,4,O,Open,Gloria|Mccullough,Lecture,TuTh,09:10,10:30,030,Physics Building,202,030-202,GE B,GE B-GE B1,,"Continuation of General Physics I. Topics include electricity, magnetism, optics, and modern physics.",PHYS 101 with a grade of C or better
00066,004,00066,LAB,PHYS,201,IP,201-PHY,0,99,30,25,5,General Physics II,0,O,Open,Gloria|Mccullough,Lab,TuTh,10:40,13:30,030,Physics Building,202,030-212,GE B,GE B-GE B1,,"Continuation of General Physics I. Topics include electricity, magnetism, optics, and modern physics.",PHYS 101 with a grade of C or better
00067,005,00067,LEC,PHYS,201,AM,201-PHY,0,99,30,15,15,General Physics II,4,O,Wait List,Marcus|Mccray,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B1,,"Continuation of General Physics I. Topics include electricity, magnetism, optics, and modern physics.",PHYS 101 with a grade of C or better
